M9 —— 步態（★★★ 承重、連續、動態觸地）　模式：播放 A_kp250_walk.json

⚠️⚠️ 確認：狗趴在地上、16 顆洩力、**吊帶掛在 292 mm 以下且鬆弛**、
      **地面淨空且留出走動空間**、第二個終端機備著 estop。

✅ 結構檢查通過
✅ 16 顆全部洩力中
✅ mc_ctrl PID=2428 狀態=T
✅ 機身姿態 roll -4.4° pitch -8.1°
✅ 前後膝反號（後腿往前彎，原廠預設）

軌跡檔：前進　duty 0.8 ω 1.4 d_step 0.1 x_off -0.03 g_c 0.048 z_sag 0.0360

互動模式　最壞情況 52.0 秒：
  站起來 6.5 ＋ 等①10 ＋ 降增益 1.5 ＋ 淡入 3.0 ＋ 走 10 ＋ 淡出 3.0 ＋ 升增益 1.5 ＋ 等③10 ＋ 趴下 6.5
  （等②就是「走」那段；三個等待逾時都是自動往下走，不是中止）
✅ 在承重上限 60 秒之內

步態最大命令速度 9.61 rad/s（bl3_knee_pitch）　上限 14.0
✅ 在上限內（⚠️ 保護門檻 --vmax 16.0 必須高於這個，否則會誤中止）
✅ 步態全程在機構限位內

增益：步態 ABAD 60 / HIP·KNEE 250　kd 2.0（站立段一律 250）　輪 **kp 0** kd 0.5（純阻尼）
保護：力矩 ABAD 50 / HIP 50 / KNEE 70、硬上限 120
      誤差 0.6 rad、速度 16.0 rad/s、傾角 ±20°、迴圈間隔 250 ms

✅ 已凍結 mc_ctrl（T）

     t           階段     kp     最大|誤差|    最大|τ|               關節   roll  pitch      輪速
關節                     峰值τ      門檻      用掉      ★超標筆數    (未濾)      剔除跳點
fl1_hip_roll        -18.25      50     36%          4       6         2  ⚠️
fl2_hip_pitch       -43.09      50     86%          1       1         1  ⚠️
fl3_knee_pitch      +56.35      70     80%          0       1         2
fr1_hip_roll        +12.74      50     25%          1       1         0  ⚠️
fr2_hip_pitch       -43.81      50     88%          1       1         0  ⚠️
fr3_knee_pitch      +46.37      70     66%          0       0         0
bl1_hip_roll        -30.26      50     61%          0       0         0
bl2_hip_pitch       +46.24      50     92%          0       0         0
bl3_knee_pitch      -55.88      70     80%          0       0         0
br1_hip_roll        +28.19      50     56%          0       0         0
br2_hip_pitch       +40.92      50     82%          0       0         0
br3_knee_pitch      -57.72      70     82%          0       0         1
  ⚠️⚠️ 有 7 筆超過門檻。**這一欄以前沒有，trip13 就是因此漏看的** ——
     當時 bl3 整趟 13 筆超標（峰值 114%），但收工表只印峰值，
     而最長連續只有 2 筆、沒到中止門檻，所以畫面上完全看不出來。
  ★ 共剔除 6 筆孤立反號跳點（單筆、與前後兩筆都反號且更大）。
    正常量級是每趟 0~3 筆；**上到十位數就不是感測雜訊，要查 SHM 解碼**。
    原始值都還在 JSON 的 `samples` 裡，沒有被改掉。

舊幀跳過 4 次（停頓後的追趕 tick，保護與紀錄未受污染）

迴圈：7294 次 / 36.47s = 200 Hz（目標 200）　最長單次間隔 12 ms @ t=20.17s

輪               淨轉動 rad     ≈ 滾動 mm
fl4_foot        -1.9328        -186
